11,242234.68813821673,185339.16140401753,0,China
17,242215.79735923558,185335.175138494,0,Guaraguao
18,242218.33855400607,185330.92138407516,0,Guaba
19,242218.05935067683,185327.23291797435,0,Guaba
20,242222.28801440448,185328.93839227647,0,Guaba
21,242217.77993307263,185323.82816350544,0,Guaraguao
23,242217.43216720968,185317.58623808046,0,Guaba
24,242219.7572438456,185319.43212769539,0,Guaba
26,242219.19636856392,185315.317880337,0,Guaraguao
27,242217.2251867652,185311.6281311002,0,Guaraguao
28,242220.0468770601,185309.36057591854,0,Guaraguao
29,242218.921041511,185306.52260319632,0,Guaraguao
30,242222.02257667854,185307.09237966346,0,Guaraguao
40,242218.9264233224,185299.42981017407,0,Guaraguao
41,242224.84641947225,185301.9877093636,0,Guaraguao
